longitude,latitude,junction_type,num_roads,connected_road_indices
103.849472,1.285502,T Shape,3,"[101, 134, 2564]"
103.849258,1.285617,T Shape,3,"[101, 2566, 4070]"
103.845267,1.287826,T Shape,3,"[102, 216, 662]"
103.841363,1.288563,X Shape,4,"[103, 147, 653, 1594]"
103.846912,1.28503,X Shape,4,"[104, 922, 1474, 2542]"
103.836536,1.300902,T Shape,3,"[105, 1073, 1356]"
103.836381,1.300738,T Shape,3,"[105, 1355, 1357]"
103.835077,1.300313,T Shape,3,"[106, 125, 1700]"
103.83748,1.30195,X Shape,4,"[107, 1266, 4823, 4862]"
103.835917,1.302825,X Shape,4,"[108, 1267, 1735, 2556]"
103.842491,1.287386,T Shape,3,"[109, 667, 5693]"
103.828361,1.285868,X Shape,4,"[111, 1981, 1982, 3243]"
103.82834,1.286583,T Shape,3,"[112, 4598, 4599]"
103.8278,1.286699,T Shape,3,"[112, 3928, 3930]"
103.830963,1.287216,T Shape,3,"[113, 322, 4588]"
103.826315,1.290619,X Shape,4,"[114, 116, 140, 1720]"
103.826586,1.290604,T Shape,3,"[114, 890, 4769]"
103.840774,1.288662,T Shape,3,"[115, 218, 2532]"
103.840195,1.289038,T Shape,3,"[115, 1654, 3281]"
103.826305,1.290502,X Shape,4,"[116, 294, 642, 881]"
103.831953,1.295061,T Shape,3,"[117, 2609, 4045]"
103.833646,1.285414,T Shape,3,"[118, 2035, 3142]"
103.83343,1.285637,T Shape,3,"[118, 950, 2036]"
103.833652,1.285593,X Shape,4,"[119, 408, 2035, 2036]"
103.833656,1.286142,Crossing,4,"[119, 886, 3157, 3193]"
103.84751,1.286662,T Shape,3,"[120, 2670, 3455]"
103.847388,1.296909,T Shape,3,"[121, 3825, 4082]"
103.835316,1.301291,Crossing,4,"[122, 636, 3692, 3771]"
103.835268,1.301569,T Shape,3,"[122, 351, 364]"
103.83364,1.302895,T Shape,3,"[123, 2815, 4017]"
103.833412,1.302838,T Shape,3,"[123, 1701, 2750]"
103.84835,1.29732,T Shape,3,"[124, 492, 2502]"
103.834704,1.300056,T Shape,3,"[125, 4892, 5388]"
103.848415,1.286214,T Shape,3,"[127, 1500, 4143]"
